course_id,course_code,course_name,enrollment,duration_hours,room_type_requirement,instructor_faculty_id
0,CS101,CS101 - Course 0,140,1,regular,28
1,CS102,CS102 - Course 1,70,1,regular,28
2,CS201,CS201 - Course 2,40,1,regular,7
3,CS202,CS202 - Course 3,43,1,regular,0
4,CS301,CS301 - Course 4,61,1,regular,0
5,MATH101,MATH101 - Course 5,131,1,computer_lab,4
6,MATH102,MATH102 - Course 6,38,1,regular,1
7,PHYS101,PHYS101 - Course 7,26,1,regular,19
8,CHEM101,CHEM101 - Course 8,72,1,regular,1
9,BIO101,BIO101 - Course 9,41,1,computer_lab,7
10,ECO101,ECO101 - Course 10,123,1,regular,3
11,HIST101,HIST101 - Course 11,43,1,regular,7
12,ENG101,ENG101 - Course 12,38,1,regular,22
13,ENG102,ENG102 - Course 13,53,1,regular,5
14,PSYCH101,PSYCH101 - Course 14,79,1,regular,12
15,COURSE015,COURSE015 - Course 15,146,1,regular,1
16,COURSE016,COURSE016 - Course 16,35,1,regular,5
17,COURSE017,COURSE017 - Course 17,69,1,regular,6
18,COURSE018,COURSE018 - Course 18,42,1,regular,28
19,COURSE019,COURSE019 - Course 19,37,1,regular,7
20,COURSE020,COURSE020 - Course 20,123,1,regular,4
21,COURSE021,COURSE021 - Course 21,65,1,regular,21
22,COURSE022,COURSE022 - Course 22,77,1,regular,25
23,COURSE023,COURSE023 - Course 23,34,1,regular,9
24,COURSE024,COURSE024 - Course 24,74,1,regular,13
25,COURSE025,COURSE025 - Course 25,135,1,regular,1
26,COURSE026,COURSE026 - Course 26,54,1,computer_lab,29
27,COURSE027,COURSE027 - Course 27,42,1,regular,18
28,COURSE028,COURSE028 - Course 28,37,1,regular,28
29,COURSE029,COURSE029 - Course 29,20,1,regular,2
30,COURSE030,COURSE030 - Course 30,114,1,regular,14
31,COURSE031,COURSE031 - Course 31,61,1,regular,6
32,COURSE032,COURSE032 - Course 32,77,1,regular,0
33,COURSE033,COURSE033 - Course 33,41,1,computer_lab,5
34,COURSE034,COURSE034 - Course 34,56,1,regular,18
35,COURSE035,COURSE035 - Course 35,126,1,regular,6
36,COURSE036,COURSE036 - Course 36,27,1,regular,18
37,COURSE037,COURSE037 - Course 37,42,1,regular,22
38,COURSE038,COURSE038 - Course 38,46,1,computer_lab,5
39,COURSE039,COURSE039 - Course 39,66,1,regular,10
40,COURSE040,COURSE040 - Course 40,109,1,computer_lab,17
41,COURSE041,COURSE041 - Course 41,74,1,computer_lab,28
42,COURSE042,COURSE042 - Course 42,56,1,regular,12
43,COURSE043,COURSE043 - Course 43,35,1,regular,17
44,COURSE044,COURSE044 - Course 44,62,1,computer_lab,14
45,COURSE045,COURSE045 - Course 45,137,1,computer_lab,18
46,COURSE046,COURSE046 - Course 46,71,1,regular,2
47,COURSE047,COURSE047 - Course 47,65,1,regular,3
48,COURSE048,COURSE048 - Course 48,73,1,regular,5
49,COURSE049,COURSE049 - Course 49,47,1,regular,8
