student_id,course_id,course_code
0,4,PHYS201
0,0,CS201
0,2,CS203
1,0,CS201
1,4,PHYS201
1,2,CS203
2,2,CS203
2,4,PHYS201
3,0,CS201
3,4,PHYS201
3,2,CS203
4,0,CS201
4,2,CS203
5,4,PHYS201
5,0,CS201
5,2,CS203
6,2,CS203
6,4,PHYS201
7,2,CS203
7,4,PHYS201
7,0,CS201
8,0,CS201
8,4,PHYS201
9,4,PHYS201
9,2,CS203
9,0,CS201
10,1,CS202
10,3,MATH201
11,3,MATH201
11,1,CS202
12,1,CS202
12,3,MATH201
13,3,MATH201
13,1,CS202
14,3,MATH201
14,1,CS202
15,1,CS202
15,3,MATH201
16,1,CS202
16,3,MATH201
17,1,CS202
17,3,MATH201
18,1,CS202
18,3,MATH201
19,1,CS202
19,3,MATH201
