,Course_0,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Course_11,Course_12,Course_13,Course_14
Course_0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Course_1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
Course_2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
Course_3,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
Course_4,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1
Course_5,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
Course_6,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
Course_7,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
Course_8,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1
Course_9,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
Course_10,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1
Course_11,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
Course_12,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
Course_13,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
Course_14,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
