student_id,course_id,course_code
0,6,CHEM201
0,4,PHYS201
0,2,CS203
1,2,CS203
1,4,PHYS201
1,0,CS201
2,0,CS201
2,2,CS203
3,0,CS201
3,2,CS203
3,8,CS301
3,6,CHEM201
4,2,CS203
4,6,CHEM201
4,0,CS201
5,4,PHYS201
5,8,CS301
5,0,CS201
5,6,CHEM201
6,6,CHEM201
6,4,PHYS201
7,0,CS201
7,2,CS203
7,8,CS301
7,4,PHYS201
7,6,CHEM201
8,8,CS301
8,4,PHYS201
8,2,CS203
9,0,CS201
9,4,PHYS201
9,8,CS301
10,0,CS201
10,6,CHEM201
10,2,CS203
10,4,PHYS201
11,0,CS201
11,4,PHYS201
12,8,CS301
12,4,PHYS201
12,2,CS203
12,0,CS201
13,4,PHYS201
13,2,CS203
13,0,CS201
13,6,CHEM201
14,2,CS203
14,4,PHYS201
14,8,CS301
14,6,CHEM201
14,0,CS201
15,2,CS203
15,6,CHEM201
15,0,CS201
15,4,PHYS201
15,8,CS301
16,2,CS203
16,8,CS301
16,4,PHYS201
17,2,CS203
17,6,CHEM201
17,8,CS301
18,4,PHYS201
18,8,CS301
18,2,CS203
19,6,CHEM201
19,0,CS201
19,2,CS203
20,8,CS301
20,2,CS203
21,2,CS203
21,6,CHEM201
21,8,CS301
21,0,CS201
21,4,PHYS201
22,2,CS203
22,0,CS201
22,6,CHEM201
23,4,PHYS201
23,8,CS301
23,2,CS203
24,8,CS301
24,2,CS203
24,6,CHEM201
25,1,CS202
25,7,BIO201
26,1,CS202
26,5,EE201
26,3,MATH201
26,9,CS302
27,9,CS302
27,1,CS202
27,3,MATH201
27,7,BIO201
28,3,MATH201
28,5,EE201
28,7,BIO201
29,3,MATH201
29,5,EE201
29,9,CS302
29,7,BIO201
30,9,CS302
30,7,BIO201
30,3,MATH201
31,9,CS302
31,7,BIO201
31,3,MATH201
32,5,EE201
32,3,MATH201
32,9,CS302
33,5,EE201
33,9,CS302
33,7,BIO201
34,3,MATH201
34,5,EE201
35,9,CS302
35,5,EE201
35,7,BIO201
36,7,BIO201
36,5,EE201
36,9,CS302
37,1,CS202
37,3,MATH201
37,9,CS302
37,5,EE201
38,1,CS202
38,5,EE201
38,3,MATH201
38,7,BIO201
39,3,MATH201
39,7,BIO201
39,1,CS202
40,1,CS202
40,3,MATH201
40,7,BIO201
41,7,BIO201
41,1,CS202
41,9,CS302
42,5,EE201
42,3,MATH201
42,9,CS302
42,1,CS202
43,9,CS302
43,5,EE201
44,1,CS202
44,9,CS302
44,7,BIO201
45,5,EE201
45,9,CS302
45,1,CS202
46,5,EE201
46,3,MATH201
47,3,MATH201
47,7,BIO201
47,1,CS202
47,9,CS302
48,1,CS202
48,9,CS302
48,3,MATH201
48,7,BIO201
48,5,EE201
49,3,MATH201
49,9,CS302
49,5,EE201
