student_id,course_id,course_code
0,0,CS201
0,2,CS203
0,8,CS301
1,2,CS203
1,12,PHYS301
2,4,PHYS201
2,12,PHYS301
2,14,STAT301
3,0,CS201
3,12,PHYS301
3,14,STAT301
4,12,PHYS301
4,4,PHYS201
4,8,CS301
5,8,CS301
5,4,PHYS201
5,0,CS201
6,8,CS301
6,4,PHYS201
6,14,STAT301
7,4,PHYS201
7,0,CS201
7,10,CS303
7,6,CHEM201
7,12,PHYS301
8,2,CS203
8,6,CHEM201
8,4,PHYS201
8,10,CS303
9,10,CS303
9,2,CS203
10,10,CS303
10,14,STAT301
10,4,PHYS201
10,6,CHEM201
11,10,CS303
11,8,CS301
11,4,PHYS201
11,12,PHYS301
12,2,CS203
12,14,STAT301
12,8,CS301
12,0,CS201
12,12,PHYS301
13,14,STAT301
13,6,CHEM201
13,2,CS203
13,8,CS301
13,0,CS201
14,8,CS301
14,4,PHYS201
14,14,STAT301
15,4,PHYS201
15,8,CS301
15,2,CS203
15,10,CS303
15,6,CHEM201
16,2,CS203
16,0,CS201
16,14,STAT301
17,14,STAT301
17,12,PHYS301
18,4,PHYS201
18,0,CS201
18,8,CS301
18,2,CS203
19,10,CS303
19,8,CS301
19,12,PHYS301
19,4,PHYS201
20,10,CS303
20,2,CS203
20,12,PHYS301
20,4,PHYS201
21,6,CHEM201
21,2,CS203
22,4,PHYS201
22,14,STAT301
22,8,CS301
22,2,CS203
23,8,CS301
23,12,PHYS301
23,0,CS201
24,6,CHEM201
24,2,CS203
24,4,PHYS201
24,14,STAT301
25,0,CS201
25,4,PHYS201
25,12,PHYS301
25,10,CS303
25,14,STAT301
25,6,CHEM201
26,10,CS303
26,12,PHYS301
26,2,CS203
27,8,CS301
27,2,CS203
27,12,PHYS301
27,6,CHEM201
28,10,CS303
28,0,CS201
28,8,CS301
28,2,CS203
29,10,CS303
29,2,CS203
29,14,STAT301
29,8,CS301
30,12,PHYS301
30,8,CS301
30,6,CHEM201
30,4,PHYS201
31,4,PHYS201
31,12,PHYS301
31,10,CS303
31,8,CS301
32,10,CS303
32,2,CS203
32,6,CHEM201
32,8,CS301
32,4,PHYS201
33,8,CS301
33,2,CS203
33,12,PHYS301
33,4,PHYS201
34,2,CS203
34,6,CHEM201
34,8,CS301
34,12,PHYS301
35,0,CS201
35,6,CHEM201
35,4,PHYS201
35,8,CS301
35,12,PHYS301
36,10,CS303
36,2,CS203
36,8,CS301
37,0,CS201
37,14,STAT301
37,2,CS203
38,4,PHYS201
38,2,CS203
38,14,STAT301
38,8,CS301
38,12,PHYS301
39,10,CS303
39,2,CS203
39,8,CS301
39,12,PHYS301
40,5,EE201
40,7,BIO201
40,3,MATH201
41,3,MATH201
41,9,CS302
41,11,MATH301
41,1,CS202
42,9,CS302
42,7,BIO201
42,13,EE301
42,11,MATH301
42,1,CS202
43,1,CS202
43,9,CS302
43,11,MATH301
44,9,CS302
44,5,EE201
45,1,CS202
45,7,BIO201
45,13,EE301
46,11,MATH301
46,13,EE301
46,1,CS202
46,5,EE201
47,13,EE301
47,5,EE201
47,3,MATH201
47,11,MATH301
48,9,CS302
48,7,BIO201
48,3,MATH201
48,1,CS202
49,5,EE201
49,1,CS202
49,7,BIO201
50,3,MATH201
50,5,EE201
50,13,EE301
51,5,EE201
51,1,CS202
51,3,MATH201
52,5,EE201
52,1,CS202
52,13,EE301
53,13,EE301
53,9,CS302
53,11,MATH301
53,3,MATH201
54,7,BIO201
54,5,EE201
54,11,MATH301
54,13,EE301
55,13,EE301
55,5,EE201
55,9,CS302
55,7,BIO201
56,1,CS202
56,3,MATH201
56,7,BIO201
56,5,EE201
57,7,BIO201
57,11,MATH301
57,1,CS202
57,13,EE301
57,9,CS302
57,5,EE201
58,7,BIO201
58,11,MATH301
58,1,CS202
59,5,EE201
59,1,CS202
59,7,BIO201
59,13,EE301
59,3,MATH201
60,9,CS302
60,7,BIO201
60,1,CS202
61,1,CS202
61,3,MATH201
61,5,EE201
61,11,MATH301
62,1,CS202
62,9,CS302
62,13,EE301
62,3,MATH201
63,3,MATH201
63,11,MATH301
63,7,BIO201
64,11,MATH301
64,13,EE301
64,9,CS302
64,1,CS202
64,7,BIO201
65,7,BIO201
65,9,CS302
65,5,EE201
65,1,CS202
66,1,CS202
66,5,EE201
66,7,BIO201
67,13,EE301
67,9,CS302
67,11,MATH301
67,3,MATH201
68,5,EE201
68,3,MATH201
68,13,EE301
68,11,MATH301
69,13,EE301
69,11,MATH301
69,5,EE201
69,7,BIO201
70,3,MATH201
70,5,EE201
70,13,EE301
71,13,EE301
71,7,BIO201
71,3,MATH201
71,11,MATH301
72,3,MATH201
72,13,EE301
72,7,BIO201
73,11,MATH301
73,3,MATH201
73,5,EE201
73,1,CS202
73,9,CS302
73,13,EE301
73,7,BIO201
74,1,CS202
74,11,MATH301
74,9,CS302
74,3,MATH201
75,11,MATH301
75,3,MATH201
75,1,CS202
76,7,BIO201
76,5,EE201
76,3,MATH201
76,11,MATH301
76,9,CS302
77,9,CS302
77,7,BIO201
77,5,EE201
77,1,CS202
78,9,CS302
78,5,EE201
78,11,MATH301
78,3,MATH201
78,1,CS202
79,5,EE201
79,13,EE301
79,3,MATH201
79,7,BIO201
