course_id,course_code,description,year,enrollment
0,AR5101,DESIGN DISSERTATION I,9,7
1,AR5103,HOUSING,9,7
2,BB0025,"VALUES, ETHICS AND GOVERNANCE",1,1
3,BB3104,TOTAL QUALITY MANAGEMENT,5,1
4,CA1170,FUNDAMENTALS OF COMPUTER,1,1
5,CA3201,CRYPTOGRAPHY FUNDAMENTALS,6,1
6,CA3203,FUNDAMENTALS TO MOBILE COMPUTING,6,1
7,CV1001,BASIC CIVIL ENGINEERING,1,2
8,CV2203,ANALYSIS OF INDETERMINATE STRUCTURES,4,1
9,CV3103,DESIGN OF REINFORCED CONCRETE STRUCTURES,5,1
10,CV3104,WASTE WATER MANAGEMENT,5,1
11,CY1001,ENGINEERING CHEMISTRY,2,1
12,CY1003,ENVIRONMENTAL SCIENCE,4,1
13,EC1001,BASIC ELECTRONICS,1,1
14,EC2201,ANALOG INTEGRATED CIRCUITS & SYSTEMS,4,1
15,EC3101,ANTENNAS,5,1
16,EC3103,ANALOG & DIGITAL COMMUNICATION,5,1
17,EC3104,CMOS VLSI DESIGN,5,1
18,EC3201,MICROWAVE ENGINEERING,6,1
19,EE2101,ANALOG & DIGITAL SYSTEM DESIGN,3,1
20,EO1106,ECONOMICS,1,2
21,IT3202,AUTOMATA THEORY AND  COMPILER DESIGN (PC-13),6,1
22,LA1101,SPORTS POLICY AND RULES,1,2
23,LA1102,LAW OF TORT,1,1
24,LA1103,LAW OF GENERAL CONTRACTS,1,1
25,LA1301,LEGAL RESEARCH METHODOLOGY,3,1
26,LA1901,INSURANCE LAW,9,1
27,LA1902,INTELLECTUAL PROPERTY RIGHT,9,1
28,LA1903,LAW OF TAXATION,9,1
29,LA1905,RIGHT TO INFORMATION,9,1
30,LA3101,FAMILY LAW I,5,1
31,LA3102,LAW OF CRIMES I,5,2
32,LA3103,COMPANY LAW I,5,2
33,LA3104,CODE OF CRIMINAL PROCEDURE I,5,1
34,LA3105,INTERNATIONAL LAW,5,3
35,LA3106,JURISPRUDENCE,5,3
36,LA3202,LAW OF CRIMES II,6,1
37,LA3203,COMPANY LAW II,6,4
38,LA3204,CODE OF CRIMINAL PROCEDURE II,6,3
39,LA3205,LAW OF EVIDENCE,6,2
40,LA4101,LAW OF PROPERTY & EASEMENT,7,3
41,LA4102,"PLEADING, DRAFTING AND CONVEYANCING",7,3
42,LA4103,ADMINISTRATIVE LAW,7,3
43,LA4104,CODE OF CIVIL PROCEDURE I,7,1
44,LA4105,ALTERNATIVE DISPUTE RESOLUTION,7,1
45,LA4201,LAND LAW AND TENANCY PROVISIONS,8,2
46,LA4202,LAW OF TAXATION,8,4
47,LA4203,MOOT COURT EXERCISE & INTERNSHIPS,8,4
48,LA4204,CODE OF CIVIL PROCEDURE II,8,3
49,LA4205,LAW OF INTELLECTUAL PROPERTY RIGHTS,8,1
50,LA4206,PROFESSIONAL ETHICS AND BAR- BENCH RELATIONS,8,1
51,LA5101,INSURANCE LAW,9,3
52,LA5102,"CRIMINOLOGY, PENOLOGY AND VICTIMOLOGY",9,3
53,LA5103,INSOLVENCY AND BANKRUPTCY LAW,9,3
54,LA5104,"LAW OF COMMERCIAL COURTS, SPECIFIC RELIEF AND LIMITATION",9,4
55,LA5105,CYBER LAW,9,5
56,LA5106,HUMAN RIGHTS AND INTERNATIONAL CONVENTIONS,9,6
57,LA5201,INTERNATIONAL CRIMINAL LAW AND INTERNATIONAL CRIMINAL COURT,10,2
58,LA5202,LAW OF ANTI- CORRUPTION AND RIGHT TO INFORMATION,10,2
59,LA5203,"LAW ON COMPETITION, MERGER AND ACQUISITION",10,2
60,LA5204,LAW OF BANKING AND NEGOTIABLE INSTRUMENTS,10,1
61,LA5205,LAW ON TRANSPORTATION,10,1
62,LA5206,LAW OF REGISTRATION AND STAMP DUTY,10,2
63,LAIX05,MEDIA & LAW,10,1
64,LN1107,GENERAL ENGLISH,1,1
65,LN2207,FRENCH FOR BEGINNERS-II,4,1
66,LN5101,FOREIGN LANGUAGE,9,7
67,MA1101,ENGINEERING MATHEMATICS-I,1,2
68,MA1201,ENGINEERING MATHEMATICS-II,2,1
69,MA2109,ENGINEERING MATHEMATICS – III,3,2
70,MA2205,ENGINEERING MATHEMATICS,4,1
71,MA2207,ENGINEERING MATHEMATICS - IV,4,2
72,MA2209,BUSINESS STATISTICS,4,1
73,MA2210,NUMERICAL METHODS,4,1
74,MA2217,ENGINEERING MATHEMATICS – IV,4,1
75,ME2202,FLUID MECHANICS,4,1
76,ME3102,DESIGN OF MACHINE ELEMENTS,5,1
77,ME3103,HEAT & MASS TRANSFER,5,1
78,ME3104,INTERNAL COMBUSTION ENGINE,5,3
79,ME3202,INTRODUCTION TO FINITE ELEMENT METHODS,6,2
80,MEE3101,DESIGN OF MACHINE ELEMENTS,5,1
81,MEE3102,HEAT TRANSFER,5,1
82,PS1103,PSYCHOLOGY,1,1
83,PY1001,ENGINEERING PHYSICS,2,2
