course_id,course_code,description,year,enrollment
0,BB3104,TOTAL QUALITY MANAGEMENT,5,1
1,BB3140,EMPLOYMENT LAWS,5,1
2,CA3201,CRYPTOGRAPHY FUNDAMENTALS,6,1
3,CA3203,FUNDAMENTALS TO MOBILE COMPUTING,6,1
4,CY1003,ENVIRONMENTAL SCIENCE,4,1
5,DOA2007,MARKETING FOR ENTREPRENEURSHIP,5,1
6,EC2201,ANALOG INTEGRATED CIRCUITS & SYSTEMS,4,1
7,EC3101,ANTENNAS,5,1
8,EC3103,ANALOG & DIGITAL COMMUNICATION,5,1
9,EC3104,CMOS VLSI DESIGN,5,1
10,EC3201,MICROWAVE ENGINEERING,6,1
11,EC3251,VLSI DESIGN WITH VERILOG HDL,6,1
12,EC4146,INFORMATION THEORY & CODING,7,1
13,IT3202,AUTOMATA THEORY AND  COMPILER DESIGN (PC-13),6,1
14,LA1301,LEGAL RESEARCH METHODOLOGY,3,1
15,LA1901,INSURANCE LAW,9,1
16,LA1902,INTELLECTUAL PROPERTY RIGHT,9,1
17,LA1903,LAW OF TAXATION,9,1
18,LA1905,RIGHT TO INFORMATION,9,1
19,LA3101,FAMILY LAW I,5,1
20,LA3102,LAW OF CRIMES I,5,1
21,LA3103,COMPANY LAW I,5,1
22,LA3104,CODE OF CRIMINAL PROCEDURE I,5,1
23,LA3105,INTERNATIONAL LAW,5,2
24,LA3106,JURISPRUDENCE,5,2
25,LA3202,LAW OF CRIMES II,6,1
26,LA3203,COMPANY LAW II,6,2
27,LA3204,CODE OF CRIMINAL PROCEDURE II,6,3
28,LA3205,LAW OF EVIDENCE,6,2
29,LA4101,LAW OF PROPERTY & EASEMENT,7,3
30,LA4102,"PLEADING, DRAFTING AND CONVEYANCING",7,2
31,LA4103,ADMINISTRATIVE LAW,7,2
32,LA4104,CODE OF CIVIL PROCEDURE I,7,1
33,LA4142,"WOMAN, CHILD AND THE LAW",7,2
34,LA4201,LAND LAW AND TENANCY PROVISIONS,8,2
35,LA4202,LAW OF TAXATION,8,3
36,LA4203,MOOT COURT EXERCISE & INTERNSHIPS,8,3
37,LA4204,CODE OF CIVIL PROCEDURE II,8,3
38,LA4205,LAW OF INTELLECTUAL PROPERTY RIGHTS,8,1
39,LA5101,INSURANCE LAW,9,1
40,LA5104,"LAW OF COMMERCIAL COURTS, SPECIFIC RELIEF AND LIMITATION",9,2
41,LA5105,CYBER LAW,9,2
42,LA5106,HUMAN RIGHTS AND INTERNATIONAL CONVENTIONS,9,3
43,LA5201,INTERNATIONAL CRIMINAL LAW AND INTERNATIONAL CRIMINAL COURT,10,2
44,LA5202,LAW OF ANTI- CORRUPTION AND RIGHT TO INFORMATION,10,2
45,LA5203,"LAW ON COMPETITION, MERGER AND ACQUISITION",10,2
46,LA5204,LAW OF BANKING AND NEGOTIABLE INSTRUMENTS,10,1
47,LA5205,LAW ON TRANSPORTATION,10,1
48,LA5206,LAW OF REGISTRATION AND STAMP DUTY,10,2
49,LAIX05,MEDIA & LAW,10,1
50,LN2207,FRENCH FOR BEGINNERS-II,4,1
51,MA2205,ENGINEERING MATHEMATICS,4,1
52,MA2209,BUSINESS STATISTICS,4,1
53,MA2210,NUMERICAL METHODS,4,1
54,ME0001,ENERGY CONVERSION AND WASTE HEAT RECOVERY,7,1
55,ME3102,DESIGN OF MACHINE ELEMENTS,5,1
56,ME3103,HEAT & MASS TRANSFER,5,1
57,ME3104,INTERNAL COMBUSTION ENGINE,5,2
58,ME3202,INTRODUCTION TO FINITE ELEMENT METHODS,6,1
59,ME4163,PRODUCTION PLANNING AND CONTROL,7,1
60,ME4166,TURBOMACHINERY,7,1
61,MEE3101,DESIGN OF MACHINE ELEMENTS,5,1
62,MEE3102,HEAT TRANSFER,5,1
63,MEE3120,SMART  MANUFACTURING,5,1
64,MEE3140,COMPUTER AIDED DESIGN,5,1
65,MEE3149,ALTERNATIVE  FUELS,5,1
