time_slot,exam_id,course_code,year,enrollment
0,25,LA3202,6,1
0,39,LA5101,9,1
0,65,MEE3149,5,1
1,30,LA4102,7,2
1,51,MA2205,4,1
1,58,ME3202,6,1
2,3,CA3203,6,1
2,9,EC3104,5,1
2,21,LA3103,5,1
2,34,LA4201,8,2
2,47,LA5205,10,1
2,49,LAIX05,10,1
2,60,ME4166,7,1
3,17,LA1903,9,1
3,26,LA3203,6,2
3,62,MEE3102,5,1
4,33,LA4142,7,2
4,41,LA5105,9,2
4,46,LA5204,10,1
5,0,BB3104,5,1
5,16,LA1902,9,1
5,19,LA3101,5,1
5,45,LA5203,10,2
5,57,ME3104,5,2
6,10,EC3201,6,1
6,37,LA4204,8,3
6,50,LN2207,4,1
7,2,CA3201,6,1
7,7,EC3101,5,1
7,18,LA1905,9,1
7,22,LA3104,5,1
7,27,LA3204,6,3
7,55,ME3102,5,1
7,61,MEE3101,5,1
8,48,LA5206,10,2
8,53,MA2210,4,1
8,59,ME4163,7,1
9,1,BB3140,5,1
9,32,LA4104,7,1
9,44,LA5202,10,2
9,56,ME3103,5,1
10,5,DOA2007,5,1
10,13,IT3202,6,1
10,15,LA1901,9,1
10,38,LA4205,8,1
11,12,EC4146,7,1
11,31,LA4103,7,2
11,40,LA5104,9,2
12,4,CY1003,4,1
12,11,EC3251,6,1
12,24,LA3106,5,2
12,28,LA3205,6,2
12,64,MEE3140,5,1
13,43,LA5201,10,2
14,8,EC3103,5,1
14,23,LA3105,5,2
14,36,LA4203,8,3
15,20,LA3102,5,1
15,42,LA5106,9,3
16,14,LA1301,3,1
16,29,LA4101,7,3
16,52,MA2209,4,1
17,6,EC2201,4,1
17,35,LA4202,8,3
17,54,ME0001,7,1
17,63,MEE3120,5,1
