course_id,course_code,description,year,enrollment
0,BB3104,TOTAL QUALITY MANAGEMENT,5,1
1,CA3201,CRYPTOGRAPHY FUNDAMENTALS,6,1
2,CA3203,FUNDAMENTALS TO MOBILE COMPUTING,6,1
3,CY1003,ENVIRONMENTAL SCIENCE,4,1
4,EC2201,ANALOG INTEGRATED CIRCUITS & SYSTEMS,4,1
5,EC3101,ANTENNAS,5,1
6,EC3103,ANALOG & DIGITAL COMMUNICATION,5,1
7,EC3104,CMOS VLSI DESIGN,5,1
8,EC3201,MICROWAVE ENGINEERING,6,1
9,IT3202,AUTOMATA THEORY AND  COMPILER DESIGN (PC-13),6,1
10,LA1301,LEGAL RESEARCH METHODOLOGY,3,1
11,LA1901,INSURANCE LAW,9,1
12,LA1902,INTELLECTUAL PROPERTY RIGHT,9,1
13,LA1903,LAW OF TAXATION,9,1
14,LA1905,RIGHT TO INFORMATION,9,1
15,LA3101,FAMILY LAW I,5,1
16,LA3102,LAW OF CRIMES I,5,1
17,LA3103,COMPANY LAW I,5,1
18,LA3104,CODE OF CRIMINAL PROCEDURE I,5,1
19,LA3105,INTERNATIONAL LAW,5,2
20,LA3106,JURISPRUDENCE,5,2
21,LA3202,LAW OF CRIMES II,6,1
22,LA3203,COMPANY LAW II,6,2
23,LA3204,CODE OF CRIMINAL PROCEDURE II,6,3
24,LA3205,LAW OF EVIDENCE,6,2
25,LA4101,LAW OF PROPERTY & EASEMENT,7,3
26,LA4102,"PLEADING, DRAFTING AND CONVEYANCING",7,2
27,LA4103,ADMINISTRATIVE LAW,7,2
28,LA4104,CODE OF CIVIL PROCEDURE I,7,1
29,LA4201,LAND LAW AND TENANCY PROVISIONS,8,2
30,LA4202,LAW OF TAXATION,8,3
31,LA4203,MOOT COURT EXERCISE & INTERNSHIPS,8,3
32,LA4204,CODE OF CIVIL PROCEDURE II,8,3
33,LA4205,LAW OF INTELLECTUAL PROPERTY RIGHTS,8,1
34,LA5101,INSURANCE LAW,9,1
35,LA5104,"LAW OF COMMERCIAL COURTS, SPECIFIC RELIEF AND LIMITATION",9,2
36,LA5105,CYBER LAW,9,2
37,LA5106,HUMAN RIGHTS AND INTERNATIONAL CONVENTIONS,9,3
38,LA5201,INTERNATIONAL CRIMINAL LAW AND INTERNATIONAL CRIMINAL COURT,10,2
39,LA5202,LAW OF ANTI- CORRUPTION AND RIGHT TO INFORMATION,10,2
40,LA5203,"LAW ON COMPETITION, MERGER AND ACQUISITION",10,2
41,LA5204,LAW OF BANKING AND NEGOTIABLE INSTRUMENTS,10,1
42,LA5205,LAW ON TRANSPORTATION,10,1
43,LA5206,LAW OF REGISTRATION AND STAMP DUTY,10,2
44,LAIX05,MEDIA & LAW,10,1
45,LN2207,FRENCH FOR BEGINNERS-II,4,1
46,MA2205,ENGINEERING MATHEMATICS,4,1
47,MA2209,BUSINESS STATISTICS,4,1
48,MA2210,NUMERICAL METHODS,4,1
49,ME3102,DESIGN OF MACHINE ELEMENTS,5,1
50,ME3103,HEAT & MASS TRANSFER,5,1
51,ME3104,INTERNAL COMBUSTION ENGINE,5,2
52,ME3202,INTRODUCTION TO FINITE ELEMENT METHODS,6,1
53,MEE3101,DESIGN OF MACHINE ELEMENTS,5,1
54,MEE3102,HEAT TRANSFER,5,1
