student_id,course_id
reg1,13
reg1,44
reg10,19
reg10,22
reg10,24
reg11,26
reg12,43
reg13,1
reg13,2
reg13,3
reg13,48
reg14,0
reg15,45
reg15,47
reg16,27
reg16,29
reg16,30
reg16,31
reg16,32
reg17,15
reg17,16
reg17,17
reg17,18
reg17,19
reg17,20
reg17,26
reg17,27
reg17,28
reg19,51
reg2,10
reg2,14
reg20,49
reg20,50
reg20,51
reg20,52
reg21,4
reg21,5
reg21,6
reg21,7
reg21,8
reg21,46
reg22,53
reg22,54
reg3,11
reg3,12
reg4,9
reg5,20
reg5,23
reg5,25
reg5,29
reg5,30
reg5,31
reg5,32
reg5,33
reg5,34
reg5,35
reg5,36
reg5,37
reg5,38
reg5,39
reg5,40
reg6,21
reg6,22
reg6,23
reg6,24
reg6,25
reg6,30
reg6,31
reg6,32
reg6,35
reg6,37
reg6,38
reg6,39
reg6,40
reg6,41
reg6,42
reg6,43
reg7,25
reg8,23
reg9,36
reg9,37
