student_id,course_id
reg1,24
reg1,60
reg10,30
reg10,33
reg10,35
reg11,37
reg11,41
reg12,59
reg13,4
reg13,5
reg13,9
reg13,67
reg14,2
reg14,3
reg15,61
reg15,66
reg16,38
reg16,42
reg16,43
reg16,44
reg16,45
reg17,26
reg17,27
reg17,28
reg17,29
reg17,30
reg17,31
reg17,37
reg17,38
reg17,39
reg17,41
reg18,76
reg19,73
reg2,21
reg2,25
reg20,69
reg20,71
reg20,72
reg20,73
reg20,74
reg20,75
reg21,12
reg21,13
reg21,14
reg21,15
reg21,16
reg21,17
reg21,18
reg21,64
reg22,10
reg22,77
reg22,78
reg22,79
reg22,80
reg22,81
reg25,50
reg27,40
reg28,27
reg28,30
reg28,38
reg28,49
reg28,52
reg28,53
reg29,74
reg3,22
reg3,23
reg30,31
reg30,37
reg30,44
reg30,47
reg31,28
reg31,33
reg31,43
reg32,33
reg32,48
reg32,49
reg32,50
reg32,51
reg32,52
reg32,53
reg35,8
reg35,65
reg36,6
reg36,7
reg36,65
reg37,0
reg37,1
reg37,11
reg37,62
reg38,19
reg38,63
reg38,68
reg39,63
reg39,70
reg39,73
reg4,20
reg40,48
reg40,49
reg40,50
reg40,51
reg40,52
reg40,53
reg41,0
reg41,1
reg41,11
reg41,62
reg42,0
reg42,1
reg42,11
reg42,62
reg43,0
reg43,1
reg43,11
reg43,62
reg44,0
reg44,1
reg44,11
reg44,62
reg45,0
reg45,1
reg45,11
reg45,62
reg46,0
reg46,1
reg46,11
reg46,62
reg5,31
reg5,34
reg5,36
reg5,42
reg5,43
reg5,44
reg5,45
reg5,46
reg5,48
reg5,51
reg5,52
reg5,53
reg5,54
reg5,55
reg5,56
reg6,32
reg6,33
reg6,34
reg6,35
reg6,36
reg6,43
reg6,44
reg6,45
reg6,51
reg6,53
reg6,54
reg6,55
reg6,56
reg6,57
reg6,58
reg6,59
reg7,36
reg8,34
reg9,52
reg9,53
