time_slot,exam_id,course_code,year,enrollment
0,5,CV2203,4,1
0,17,LA1901,9,1
0,24,LA3104,5,1
0,31,LA4101,7,3
0,43,LA5102,9,3
0,66,ME3104,5,3
0,69,MEE3102,5,1
1,10,EC3101,5,1
1,30,LA3205,6,2
1,34,LA4104,7,1
1,36,LA4201,8,2
2,21,LA3101,5,1
2,48,LA5201,10,2
2,65,ME3103,5,1
3,32,LA4102,7,3
3,39,LA4204,8,3
3,58,MA2205,4,1
4,2,BB3104,5,1
4,12,EC3104,5,1
4,47,LA5106,9,6
4,61,MA2210,4,1
4,64,ME3102,5,1
4,68,MEE3101,5,1
5,16,LA1301,3,1
5,25,LA3105,5,3
5,49,LA5202,10,2
6,4,CA3203,6,1
6,29,LA3204,6,3
6,55,LN2207,4,1
7,0,AR5101,9,7
7,20,LA1905,9,1
7,33,LA4103,7,3
7,42,LA5101,9,3
7,53,LA5206,10,2
7,59,MA2207,4,2
8,3,CA3201,6,1
8,15,IT3202,6,1
8,28,LA3203,6,4
8,40,LA4205,8,1
8,41,LA4206,8,1
8,60,MA2209,4,1
9,7,CV3104,5,1
9,22,LA3102,5,2
9,44,LA5103,9,3
9,52,LA5205,10,1
9,57,MA2109,3,2
10,1,AR5103,9,7
10,8,CY1003,4,1
10,11,EC3103,5,1
10,38,LA4203,8,4
10,54,LAIX05,10,1
11,19,LA1903,9,1
11,23,LA3103,5,2
11,50,LA5203,10,2
12,6,CV3103,5,1
12,9,EC2201,4,1
12,35,LA4105,7,1
12,37,LA4202,8,4
12,62,MA2217,4,1
13,45,LA5104,9,4
13,56,LN5101,9,7
14,13,EC3201,6,1
14,14,EE2101,3,1
14,18,LA1902,9,1
14,26,LA3106,5,3
14,27,LA3202,6,1
14,63,ME2202,4,1
15,46,LA5105,9,5
15,51,LA5204,10,1
15,67,ME3202,6,2
