time_slot,exam_id,course_code,year,enrollment
0,24,ARC1103,1,2
0,33,ART2160,3,2
0,44,AT2103,3,1
0,59,BA3101,5,2
0,65,BB1102,1,13
0,67,BB1105,1,3
0,70,BB1202,2,8
0,86,BB3103,5,5
0,110,BBN2101,3,1
0,117,BCF1103,1,1
0,133,BH2103,3,10
0,143,BH3105,5,2
0,150,BIO2103,3,3
0,158,BIO7103,3,1
0,159,BIT1001,1,69
0,195,CA7105,3,1
0,198,CAP1105,1,28
0,214,CAP7105,3,3
0,251,CIV3102,5,1
0,264,CM3102,5,3
0,312,DS2101,3,3
0,363,EE2104,3,1
0,378,ELC2102,3,5
0,415,IIS2101,3,36
0,421,IM3103,5,2
0,465,JC1103,1,1
0,483,LA1905,9,1
0,486,LA2103,3,9
0,496,LA3106,5,23
0,526,LA5205,10,1
0,537,LAW2102,1,1
0,546,LCM2120,3,17
0,557,LLC1113,1,3
0,568,LLM6104,1,3
0,580,LN6111,1,1
0,583,MA1101,1,40
0,588,MA1202,2,2
0,590,MA2107,3,2
0,594,MA2201,4,23
0,640,ME1006,2,71
0,647,ME3102,5,3
0,654,MEE1008,1,185
0,657,MEE2102,3,24
0,665,PES2103,3,1
1,9,AI3105,5,9
1,25,ARC1104,1,1
1,43,AT2102,3,1
1,50,AU2102,3,4
1,96,BBA1102,1,21
1,122,BCH1113,1,4
1,127,BCH2104,3,4
1,176,CA1103,1,10
1,187,CA2203,4,1
1,206,CAP6105,1,27
1,218,CC2103,3,20
1,227,CCE2101,3,46
1,238,CHY1002,2,28
1,241,CHY6101,1,1
1,253,CM1105,1,3
1,266,COM1103,1,1
1,268,COM2105,3,1
1,272,COM6106,1,1
1,275,CS2101,3,6
1,288,CS3203,6,2
1,321,DS3102,5,4
1,325,DS3204,6,1
1,332,DSE6103,1,1
1,358,ECO6105,1,1
1,364,EE3103,5,2
1,401,HT3103,5,1
1,427,IMB2101,3,4
1,433,INT3102,5,38
1,435,IS2102,3,8
1,442,IS3102,5,1
1,444,IS3104,5,2
1,446,IS3201,6,3
1,457,IT3102,5,29
1,471,JC3103,5,13
1,506,LA4102,7,10
1,510,LA4201,6,2
1,519,LA5104,9,5
1,541,LCM2101,3,9
1,555,LLC1110,1,19
1,574,LN2108,3,38
1,630,MC2104,3,4
1,635,MCE2102,3,6
1,671,PS1204,2,1
1,674,PS2101,3,1
1,684,PS3114,5,1
1,685,PS3147,5,2
1,696,PSY2141,3,3
1,699,PSY6103,1,8
2,12,AI4103,7,6
2,13,AIM2101,3,35
