time_slot,exam_id,course_code,year,enrollment
0,9,AI3105,5,9
0,16,AIM3101,5,21
0,20,AR2107,3,1
0,35,ART6102,1,1
0,42,AT2101,3,2
0,50,AU2102,3,4
0,53,AUT3101,5,1
0,59,BA3101,5,2
0,81,BB2202,4,5
0,95,BBA1101,1,16
0,128,BCH2105,3,3
0,135,BH2106,3,9
0,145,BIO1101,1,4
0,156,BIO7101,3,2
0,185,CA2106,3,11
0,210,CAP6110,1,1
0,262,CM2202,4,1
0,269,COM6102,1,1
0,284,CS3103,5,16
0,288,CS3203,6,2
0,307,CY3107,5,1
0,317,DS2202,4,1
0,327,DSE2102,3,58
0,334,EC2101,3,2
0,344,ECE1002,1,128
0,405,ICS2102,3,7
0,407,ICS6105,1,2
0,427,IMB2101,3,4
0,435,IS2102,3,8
0,458,IT3103,5,26
0,471,JC3103,5,13
0,482,LA1903,9,1
0,488,LA2107,3,5
0,514,LA4205,8,1
0,517,LA5102,9,7
0,525,LA5204,10,1
0,542,LCM2102,3,7
0,561,LLC2101,3,1
0,568,LLM6104,1,3
0,598,MA2210,4,6
0,607,MAS1002,1,162
0,621,MBA6114,1,9
0,633,MC3104,5,4
0,662,PES1103,1,1
0,694,PSY2103,3,11
1,19,AR1105,1,1
1,25,ARC1104,1,1
1,47,AT3149,5,1
1,55,BA1102,1,1
1,58,BA2101,3,1
1,79,BB2106,3,22
1,86,BB3103,5,5
1,114,BBN2106,3,8
1,126,BCH2103,3,1
1,144,BI1001,2,25
1,154,BIO6103,1,1
1,160,BIT2101,3,8
1,170,BT2103,3,3
1,190,CA3106,5,3
1,197,CAP1104,1,43
1,238,CHY1002,2,28
1,255,CM1203,2,1
1,333,EC1001,2,30
1,340,EC3102,5,1
1,372,EL2103,3,4
1,386,EO2103,3,3
1,396,HA4105,5,1
1,445,IS3105,5,5
1,460,IT3201,6,3
1,474,JMC1104,1,8
1,487,LA2104,3,4
1,496,LA3106,5,23
1,501,LA3202,6,1
1,535,LAW1103,1,41
1,553,LLC1102,1,4
1,580,LN6111,1,1
1,585,MA1106,1,1
1,590,MA2107,3,2
1,597,MA2209,4,1
1,619,MBA6112,1,2
1,625,MBB7106,3,2
1,630,MC2104,3,4
1,637,MCE3101,5,2
1,641,ME2001,3,12
1,665,PES2103,3,1
1,668,PS1102,1,2
1,686,PSY1101,1,4
1,701,PSY7101,3,1
1,704,PY1101,1,1
1,709,PY3102,5,1
1,711,RAI2102,3,16
2,12,AI4103,7,6
2,15,AIM2103,3,13
2,38,AT1101,1,2
2,65,BB1102,1,13
2,70,BB1202,2,8
2,75,BB1640,3,3
2,129,BCH2106,3,6
2,137,BH2201,4,1
2,142,BH3104,5,17
2,149,BIO2102,3,8
2,152,BIO2112,3,4
2,162,BIT3101,5,1
2,175,BT3113,5,1
2,183,CA2104,3,4
2,202,CAP2105,3,21
2,214,CAP7105,3,3
2,220,CC2201,4,1
2,223,CC3102,5,15
2,231,CCE3102,5,12
2,232,CH3101,5,1
2,240,CHY1106,1,3
2,241,CHY6101,1,1
2,252,CM1101,1,3
2,261,CM2107,3,1
2,281,CS2203,4,4
2,282,CS3101,5,10
2,308,DOA1001,1,17
2,329,DSE3101,5,27
2,332,DSE6103,1,1
2,347,ECE2103,3,41
2,363,EE2104,3,1
2,388,EO3101,5,1
2,431,INT2103,3,117
2,438,IS2105,3,2
2,500,LA3110,5,2
2,505,LA4101,7,16
2,543,LCM2103,3,2
2,546,LCM2120,3,17
2,577,LN3101,5,1
2,600,MA2217,4,8
2,605,MA6105,1,2
2,671,PS1204,2,1
2,679,PS2107,3,3
2,693,PSY2102,3,8
2,715,VDT2102,3,6
3,6,AI3102,5,9
3,46,AT2191,3,8
3,136,BH2107,3,10
3,138,BH2204,4,1
3,168,BT2101,3,3
3,218,CC2103,3,20
3,271,COM6105,1,1
3,278,CS2104,3,23
3,301,CV2203,4,1
3,310,DOR8001,1,9
3,348,ECE3101,5,13
3,352,ECO1102,1,6
3,375,EL3102,5,2
3,384,EO2001,3,2
3,401,HT3103,5,1
3,415,IIS2101,3,36
3,425,IMB1103,1,8
3,444,IS3104,5,2
3,457,IT3102,5,29
3,478,LA1102,1,4
3,523,LA5202,10,2
3,530,LAS2102,3,10
3,549,LCM6140,1,1
3,557,LLC1113,1,3
3,592,MA2109,3,30
3,593,MA2117,3,56
3,595,MA2205,4,1
3,612,MAS1111,1,36
3,638,MCE3102,5,3
3,640,ME1006,2,71
3,651,ME3202,6,2
3,675,PS2102,3,5
3,683,PS3102,5,4
3,688,PSY1103,1,14
3,699,PSY6103,1,8
3,707,PY2102,3,2
4,0,AI2101,3,12
4,21,AR4105,7,2
4,22,ARC1101,1,1
4,62,BA3104,5,1
4,67,BB1105,1,3
4,88,BB3105,5,7
4,106,BBN1101,1,4
4,113,BBN2105,3,2
4,120,BCH1104,1,7
4,139,BH3101,5,15
4,159,BIT1001,1,69
4,176,CA1103,1,10
4,194,CA6105,1,2
4,199,CAP1180,1,5
4,205,CAP6101,1,18
4,212,CAP6112,1,1
4,226,CC3203,6,1
4,230,CCE3101,5,7
4,242,CHY6104,1,2
4,270,COM6103,1,2
4,274,CS1001,2,40
4,294,CSE2103,3,181
4,357,ECO2103,3,1
4,381,ELC3102,5,3
4,387,EO2104,3,1
4,392,FD3102,5,3
4,440,IS2204,4,4
4,452,IT2104,3,14
4,475,JMC2104,3,3
4,493,LA3103,5,28
4,513,LA4204,8,3
4,528,LAS1010,2,1
4,538,LCM1101,1,2
4,544,LCM2104,3,13
4,545,LCM2119,3,2
4,570,LN1106,1,12
4,609,MAS1107,1,23
4,636,MCE2103,3,11
4,654,MEE1008,1,185
4,705,PY1102,1,1
5,8,AI3104,5,12
5,13,AIM2101,3,35
5,18,AR1104,1,1
5,31,ART2101,3,6
5,74,BB1209,2,2
5,78,BB2104,3,1
5,84,BB3101,5,3
5,90,BB3109,5,22
5,98,BBA1104,1,8
5,101,BBA2101,3,20
5,151,BIO2104,3,5
5,186,CA2202,4,5
5,203,CAP2106,3,24
5,219,CC2104,3,17
5,236,CHE2103,3,2
5,249,CIV2103,3,7
5,266,COM1103,1,1
5,275,CS2101,3,6
5,296,CSE3102,5,34
5,302,CV3101,5,4
5,321,DS3102,5,4
5,331,DSE6101,1,1
5,361,EE2101,3,1
5,374,EL3101,5,1
5,379,ELC2103,3,10
5,390,FAD2102,3,1
5,403,HTO2102,3,1
5,423,IMB1101,1,4
5,432,INT3101,5,48
5,434,IS2101,3,13
5,455,IT2203,4,2
5,456,IT3101,5,15
5,502,LA3203,6,3
5,507,LA4103,7,16
5,510,LA4201,6,2
5,588,MA1202,2,2
5,604,MA3204,6,1
5,618,MBA6111,1,12
5,629,MC2103,3,1
5,644,ME2103,3,3
5,657,MEE2102,3,24
5,708,PY3101,5,1
6,30,ART1105,1,3
6,39,AT1102,1,2
6,91,BB3202,6,2
6,109,BBN1105,1,11
6,140,BH3102,5,6
6,169,BT2102,3,3
6,239,CHY1003,1,20
6,247,CIV2101,3,1
6,260,CM2106,3,3
6,267,COM2102,3,1
6,279,CS2201,4,2
6,300,CV2104,3,6
6,325,DS3204,6,1
6,349,ECE3102,5,5
6,356,ECO2102,3,2
6,366,EEE1001,1,19
6,371,EL2102,3,1
6,391,FD3101,5,1
6,395,HA4104,3,4
6,421,IM3103,5,2
6,441,IS3101,5,17
6,451,IT2103,3,7
6,519,LA5104,9,5
6,560,LLC2019,3,22
6,575,LN2207,4,5
6,581,MA1001,2,52
6,606,MAS1001,1,341
6,632,MC3101,5,6
6,639,ME1001,2,21
6,666,PHY1103,1,3
6,710,RAI2101,3,13
6,716,VDT3101,5,1
7,3,AI2104,3,10
7,73,BB1207,2,7
7,97,BBA1103,1,27
7,153,BIO6101,1,1
7,155,BIO6112,1,1
7,173,BT3102,5,5
7,192,CA3201,6,6
7,208,CAP6108,1,3
7,227,CCE2101,3,46
7,285,CS3104,5,18
7,303,CV3103,5,9
7,326,DSE2101,3,50
7,342,EC3104,5,3
7,382,EO1103,1,2
7,385,EO2102,3,1
7,397,HOM4101,3,3
7,417,IIS2103,3,29
7,453,IT2201,4,1
7,504,LA3205,4,2
7,536,LAW2101,1,2
7,564,LLC7103,3,1
7,569,LN1001,1,4
7,573,LN2007,3,20
7,578,LN3102,5,1
7,603,MA3107,5,6
7,610,MAS1109,1,10
7,620,MBA6113,1,17
7,649,ME3104,5,5
7,681,PS2210,4,2
7,684,PS3114,5,1
7,696,PSY2141,3,3
8,14,AIM2102,3,52
8,34,ART6101,1,1
8,68,BB1129,1,2
8,87,BB3104,5,44
8,104,BBA2104,3,43
8,117,BCF1103,1,1
8,125,BCH2102,3,3
8,133,BH2103,3,10
8,158,BIO7103,3,1
8,163,BIT3102,5,1
8,179,CA1170,1,6
8,217,CC2102,3,9
8,235,CHE2102,3,2
8,237,CHY1001,2,65
8,256,CM1205,2,1
8,291,CSE1002,2,100
8,313,DS2102,3,3
8,376,EL4101,7,2
8,380,ELC3101,5,3
8,394,HA4101,7,4
8,399,HT2102,3,1
8,412,ID4103,7,1
8,418,IIS3101,5,12
8,424,IMB1102,1,6
8,448,IS3204,6,4
8,521,LA5106,9,13
8,532,LAS2104,3,9
8,534,LAW1102,1,34
8,548,LCM3103,3,3
8,567,LLM6103,1,2
8,576,LN2208,4,16
8,586,MA1107,1,6
8,602,MA3106,5,8
8,615,MAS6112,1,2
8,658,MEE3101,5,1
8,698,PSY6102,1,4
8,714,VDT2101,3,12
9,5,AI3101,5,4
