time_slot,exam_id,course_code,year,enrollment
0,13,EC3101,5,1
0,25,LA1905,9,1
0,27,LA3102,5,2
0,32,LA3202,6,1
0,47,LA4206,8,1
0,48,LA5101,9,3
0,66,MA2209,4,1
1,21,LA1301,3,1
1,46,LA4205,8,1
1,62,LN5101,9,7
2,38,LA4103,7,3
2,50,LA5103,9,3
2,59,LA5206,10,2
2,71,ME3102,5,1
3,7,CV3103,5,1
3,30,LA3105,5,3
3,43,LA4202,8,4
3,75,ME4163,7,1
3,77,MEE3101,5,1
4,23,LA1902,9,1
4,36,LA4101,7,3
4,39,LA4104,7,1
4,49,LA5102,9,3
4,63,MA2109,3,2
4,76,ME4166,7,1
5,1,AR5103,9,7
5,18,EC4146,7,1
5,55,LA5202,10,2
5,79,MEE3120,5,1
6,24,LA1903,9,1
6,31,LA3106,5,3
6,35,LA3205,6,2
6,67,MA2210,4,1
7,0,AR5101,9,7
7,3,BB3140,5,1
7,19,EE2101,3,1
7,37,LA4102,7,3
7,57,LA5204,10,1
8,15,EC3104,5,1
8,20,IT3202,6,1
8,29,LA3104,5,1
8,51,LA5104,9,4
9,9,CY1003,4,1
9,33,LA3203,6,4
9,61,LN2207,4,1
9,65,MA2207,4,2
9,72,ME3103,5,1
9,81,MEE3149,5,1
10,8,CV3104,5,1
10,22,LA1901,9,1
10,45,LA4204,8,3
11,2,BB3104,5,1
11,6,CV2203,4,1
11,14,EC3103,5,1
11,26,LA3101,5,1
11,56,LA5203,10,2
11,60,LAIX05,10,1
12,5,CA3203,6,1
12,44,LA4203,8,4
12,64,MA2205,4,1
12,74,ME3202,6,2
12,80,MEE3140,5,1
13,16,EC3201,6,1
13,41,LA4142,7,2
13,53,LA5106,9,6
14,12,EC2201,4,1
14,28,LA3103,5,2
14,42,LA4201,8,2
14,58,LA5205,10,1
14,73,ME3104,5,3
15,10,DOA2007,5,1
15,11,DOA2010,9,7
15,34,LA3204,6,3
15,40,LA4105,7,1
16,52,LA5105,9,5
17,4,CA3201,6,1
17,17,EC3251,6,1
17,54,LA5201,10,2
17,68,MA2217,4,1
17,69,ME0001,7,1
17,70,ME2202,4,1
17,78,MEE3102,5,1
