course_id,course_code,description,year,enrollment
0,IT3202,AUTOMATA THEORY AND  COMPILER DESIGN (PC-13),6,1
1,LA1301,LEGAL RESEARCH METHODOLOGY,3,1
2,LA1901,INSURANCE LAW,9,1
3,LA1902,INTELLECTUAL PROPERTY RIGHT,9,1
4,LA1903,LAW OF TAXATION,9,1
5,LA1905,RIGHT TO INFORMATION,9,1
6,LA3106,JURISPRUDENCE,5,1
7,LA3202,LAW OF CRIMES II,6,1
8,LA3203,COMPANY LAW II,6,1
9,LA3204,CODE OF CRIMINAL PROCEDURE II,6,2
10,LA3205,LAW OF EVIDENCE,6,1
11,LA4101,LAW OF PROPERTY & EASEMENT,7,2
12,LA4201,LAND LAW AND TENANCY PROVISIONS,8,1
13,LA4202,LAW OF TAXATION,8,2
14,LA4203,MOOT COURT EXERCISE & INTERNSHIPS,8,2
15,LA4204,CODE OF CIVIL PROCEDURE II,8,2
16,LA4205,LAW OF INTELLECTUAL PROPERTY RIGHTS,8,1
17,LA5101,INSURANCE LAW,9,1
18,LA5104,"LAW OF COMMERCIAL COURTS, SPECIFIC RELIEF AND LIMITATION",9,2
19,LA5105,CYBER LAW,9,1
20,LA5106,HUMAN RIGHTS AND INTERNATIONAL CONVENTIONS,9,2
21,LA5201,INTERNATIONAL CRIMINAL LAW AND INTERNATIONAL CRIMINAL COURT,10,2
22,LA5202,LAW OF ANTI- CORRUPTION AND RIGHT TO INFORMATION,10,2
23,LA5203,"LAW ON COMPETITION, MERGER AND ACQUISITION",10,2
24,LA5204,LAW OF BANKING AND NEGOTIABLE INSTRUMENTS,10,1
25,LA5205,LAW ON TRANSPORTATION,10,1
26,LA5206,LAW OF REGISTRATION AND STAMP DUTY,10,1
27,LAIX05,MEDIA & LAW,10,1
